ticket_id,customer_id,created_date,resolved_date,priority,category
87,61,2023-02-09,2023-02-14,Urgent,Onboarding
88,62,2025-11-05,2025-11-06,Medium,Billing
89,64,2023-02-11,2023-02-15,Medium,Bug Report
90,65,2023-01-22,2023-02-03,Urgent,Feature Request
91,66,2024-04-08,2024-04-12,Medium,Feature Request
92,67,2024-02-16,2024-02-19,Low,Onboarding
93,67,2024-12-27,2025-01-03,Medium,Login Issue
94,67,2025-05-11,2025-05-19,Low,Billing
95,69,2023-11-08,2023-11-10,High,Onboarding
96,70,2023-01-12,2023-01-13,Medium,Bug Report
97,70,2023-07-24,2023-07-31,Medium,Login Issue
98,70,2024-11-12,2024-11-18,Medium,Onboarding
99,74,2024-06-20,2024-06-25,Medium,Billing
100,76,2023-12-18,2023-12-21,Low,Bug Report
101,76,2024-12-05,2024-12-06,High,Onboarding
102,76,2024-01-14,2024-01-21,Low,Feature Request
103,76,2024-12-12,2024-12-13,Medium,Login Issue
104,76,2023-02-18,2023-02-20,High,Login Issue
105,77,2023-09-02,2023-09-03,Low,Billing
106,78,2023-07-06,2023-07-15,Urgent,Feature Request
107,78,2025-08-30,2025-09-02,Medium,Bug Report
108,78,2024-08-30,2024-08-31,Urgent,Feature Request
109,78,2024-09-23,,Low,Feature Request
110,79,2025-02-20,2025-02-24,High,Billing
111,80,2024-01-23,2024-01-29,High,Login Issue
112,81,2025-02-19,2025-02-24,Medium,Login Issue
113,82,2025-05-19,2025-05-25,Medium,Login Issue
114,83,2025-07-22,2025-07-23,High,Onboarding
115,86,2023-10-23,2023-10-24,Low,Feature Request
116,86,2024-06-27,2024-06-30,Low,Feature Request
117,86,2023-11-25,,High,Feature Request
118,87,2024-04-14,2024-04-19,Urgent,Billing
119,87,2023-10-02,2023-10-09,Low,Onboarding
120,87,2025-11-30,2025-12-02,Low,Onboarding
121,89,2025-07-10,2025-07-11,Medium,Feature Request
122,89,2023-01-28,2023-01-29,Low,Bug Report
123,89,2025-08-28,2025-08-30,Medium,Login Issue
124,89,2025-04-16,2025-04-27,Medium,Onboarding
125,89,2024-09-25,,Medium,Bug Report
126,92,2025-11-17,2025-11-21,Low,Login Issue
127,92,2024-08-12,2024-08-22,Low,Feature Request
128,92,2025-07-10,2025-07-11,Medium,Login Issue
129,95,2024-03-11,2024-03-14,Low,Onboarding
130,95,2025-10-25,2025-10-30,High,Feature Request
131,95,2024-04-28,2024-04-29,Medium,Feature Request
132,96,2024-01-07,2024-01-13,High,Feature Request
133,96,2024-04-20,2024-04-25,Medium,Login Issue
134,96,2024-11-07,2024-11-11,Medium,Onboarding
135,96,2023-06-09,2023-06-22,Low,Bug Report
136,99,2025-03-15,2025-03-16,Medium,Bug Report
137,99,2023-05-29,2023-06-13,Medium,Feature Request
138,99,2023-02-25,2023-03-08,Low,Login Issue
139,99,2024-11-23,2024-11-30,Urgent,Feature Request
140,100,2025-05-31,2025-06-11,Low,Onboarding
141,105,2024-07-26,2024-08-09,Low,Feature Request
142,106,2023-04-24,2023-04-28,Medium,Bug Report
143,106,2023-01-27,2023-01-30,Low,Feature Request
144,106,2023-04-29,2023-05-01,Low,Onboarding
145,107,2025-06-21,2025-06-23,Medium,Onboarding
146,107,2024-06-20,2024-06-23,Medium,Bug Report
147,107,2024-02-27,2024-03-05,Low,Bug Report
148,107,2023-04-27,,High,Login Issue
149,107,2025-03-27,2025-04-03,Low,Billing
150,109,2024-09-08,,Low,Feature Request
151,110,2023-01-26,2023-01-28,Low,Billing
152,110,2023-05-07,2023-05-11,Medium,Bug Report
153,111,2025-04-07,2025-04-18,Low,Billing
154,111,2024-03-19,2024-03-20,Low,Billing
155,112,2023-08-31,2023-09-03,Medium,Billing
156,112,2025-09-22,2025-09-23,Urgent,Onboarding
157,112,2023-06-12,2023-06-18,High,Billing
158,114,2025-07-22,2025-07-31,Medium,Feature Request
159,114,2023-07-24,2023-07-25,Low,Bug Report
160,115,2024-09-16,2024-09-17,Medium,Onboarding
161,116,2024-05-22,2024-05-23,Medium,Onboarding
162,117,2024-03-11,2024-03-17,Medium,Bug Report
163,118,2024-11-20,2024-11-21,High,Billing
164,118,2023-04-16,2023-05-01,High,Feature Request
165,118,2024-08-07,2024-08-09,Medium,Login Issue
166,120,2023-04-16,2023-04-20,Medium,Bug Report
167,120,2025-01-26,2025-01-31,Medium,Feature Request
168,120,2024-11-27,,Low,Login Issue
169,122,2024-02-01,2024-02-02,Medium,Bug Report
170,122,2023-01-04,2023-01-05,Low,Feature Request
171,122,2024-08-02,2024-08-08,Low,Login Issue
172,122,2025-10-05,2025-10-06,Medium,Bug Report
173,122,2023-08-13,,Low,Bug Report
174,123,2023-09-24,2023-09-27,Medium,Billing
175,124,2025-06-05,2025-06-11,Low,Feature Request
176,125,2025-07-18,2025-07-20,Medium,Login Issue
177,125,2023-11-20,2023-11-26,High,Bug Report
178,127,2025-03-08,2025-03-10,Low,Login Issue
179,127,2023-01-30,2023-02-04,High,Bug Report
180,128,2025-06-02,2025-06-05,Low,Bug Report
181,128,2023-04-30,2023-05-09,Low,Bug Report
182,129,2023-01-25,2023-01-27,Low,Onboarding
183,129,2025-01-02,2025-01-08,Low,Login Issue
184,129,2024-09-21,2024-09-25,Medium,Onboarding
185,129,2024-10-21,2024-10-28,Low,Bug Report
186,129,2025-12-07,2025-12-16,Medium,Login Issue
187,131,2025-11-11,2025-11-22,High,Feature Request
188,131,2025-06-20,2025-06-25,Medium,Login Issue
189,132,2024-05-24,2024-05-26,High,Billing
190,132,2025-06-18,2025-06-19,Low,Bug Report
191,133,2025-09-27,2025-09-28,Low,Billing
192,134,2024-03-12,2024-03-13,Medium,Login Issue
193,134,2024-08-25,2024-08-26,High,Feature Request
194,134,2025-05-22,2025-06-02,High,Onboarding
195,135,2024-06-13,2024-06-16,Medium,Login Issue
196,135,2025-05-21,2025-05-24,Medium,Login Issue
197,135,2023-07-28,2023-07-30,High,Feature Request
198,135,2025-09-10,2025-09-13,Medium,Feature Request
199,135,2024-04-11,2024-04-29,Medium,Bug Report
200,136,2025-02-08,2025-02-09,High,Feature Request
201,137,2025-05-08,2025-05-10,Low,Login Issue
202,137,2025-09-26,2025-10-02,Medium,Bug Report
203,137,2023-03-18,2023-03-29,Medium,Feature Request
204,139,2023-12-10,2023-12-13,Medium,Feature Request
205,139,2025-02-02,2025-02-08,Medium,Feature Request
206,139,2023-12-01,2023-12-02,Urgent,Bug Report
207,140,2024-05-15,2024-05-20,Medium,Onboarding
208,140,2025-07-07,,High,Bug Report
209,140,2024-06-07,2024-06-26,Medium,Feature Request
210,140,2023-02-11,2023-02-15,Medium,Bug Report
211,143,2025-12-31,2026-01-01,Medium,Bug Report
212,143,2025-10-29,2025-11-06,Medium,Billing
213,143,2023-04-29,2023-05-05,Medium,Bug Report
214,144,2023-04-11,2023-04-13,Low,Feature Request
215,144,2023-08-11,2023-08-12,Low,Onboarding
216,145,2025-04-14,2025-04-19,High,Feature Request
217,145,2024-08-01,2024-08-06,High,Login Issue
218,145,2024-05-31,2024-06-02,Low,Onboarding
219,145,2023-05-05,2023-05-10,Medium,Bug Report
220,146,2025-07-26,2025-07-27,Medium,Login Issue
221,146,2025-12-06,2025-12-17,Low,Bug Report
222,149,2024-07-26,2024-07-28,High,Bug Report
223,150,2024-01-19,,Medium,Bug Report
224,150,2025-12-23,2026-01-01,High,Onboarding
225,151,2024-12-02,2024-12-04,Medium,Onboarding
226,151,2024-05-11,2024-05-16,High,Feature Request
227,151,2023-08-13,2023-08-17,Medium,Onboarding
228,152,2025-01-31,2025-02-01,Urgent,Onboarding
229,152,2024-04-12,2024-04-15,Medium,Feature Request
230,153,2025-07-24,,Medium,Onboarding
231,153,2025-04-24,2025-04-25,Medium,Onboarding
232,153,2025-06-21,2025-06-24,Low,Feature Request
233,153,2023-12-29,2024-01-01,Low,Billing
234,154,2023-04-27,2023-05-06,Medium,Billing
235,154,2023-07-05,2023-07-09,Low,Billing
236,154,2024-12-29,2025-01-07,Low,Bug Report
237,158,2024-03-19,2024-03-28,Medium,Feature Request
238,158,2025-04-22,2025-04-25,Low,Onboarding
239,158,2024-08-17,2024-08-18,Medium,Login Issue
240,159,2024-08-21,2024-08-30,Low,Feature Request
241,159,2023-03-19,2023-03-20,High,Feature Request
242,159,2024-06-04,2024-06-08,Medium,Onboarding
243,163,2024-02-21,2024-02-22,Medium,Billing
244,163,2024-03-15,2024-03-28,Medium,Login Issue
245,163,2024-12-24,2024-12-25,Low,Bug Report
246,167,2023-01-14,2023-01-16,Low,Login Issue
247,170,2025-02-03,2025-02-20,Low,Bug Report
248,171,2025-04-05,2025-04-06,Low,Onboarding
249,171,2025-07-30,2025-08-05,Low,Bug Report
250,174,2024-09-07,2024-09-12,Low,Onboarding
251,175,2023-04-26,2023-04-27,High,Login Issue
252,177,2023-06-05,2023-06-14,Medium,Feature Request
253,178,2023-03-03,2023-03-04,Low,Billing
254,180,2025-09-29,2025-10-04,Medium,Bug Report
255,181,2025-11-24,,Low,Feature Request
256,181,2025-06-29,2025-06-30,High,Bug Report
257,182,2023-12-14,2023-12-17,Low,Login Issue
258,182,2025-08-10,2025-08-15,Low,Feature Request
259,182,2024-11-22,2024-11-23,Medium,Billing
260,183,2025-11-16,2025-11-26,Low,Billing
261,184,2024-12-11,2024-12-13,High,Onboarding
262,184,2024-03-24,2024-03-25,Medium,Onboarding
263,185,2025-09-12,2025-09-20,Low,Onboarding
264,188,2023-09-30,2023-10-03,Medium,Login Issue
265,190,2024-05-16,2024-05-24,Medium,Onboarding
266,190,2025-05-30,2025-06-01,Medium,Billing
267,190,2024-11-26,2024-11-30,Low,Onboarding
268,191,2024-10-13,2024-10-28,Medium,Billing
269,192,2024-12-17,2024-12-19,Low,Feature Request
270,193,2024-04-19,2024-04-22,Medium,Login Issue
271,193,2024-10-28,2024-11-04,Medium,Login Issue
272,195,2025-02-07,2025-02-12,Low,Bug Report
273,195,2025-01-10,2025-01-17,High,Feature Request
274,196,2025-08-02,2025-08-04,High,Feature Request
275,196,2025-11-09,2025-11-12,Medium,Onboarding
276,196,2024-09-11,2024-09-12,High,Login Issue
277,196,2025-12-12,2025-12-19,Low,Login Issue
278,196,2023-11-01,2023-11-05,Medium,Bug Report
279,197,2025-06-27,2025-07-01,Medium,Login Issue
280,197,2024-01-26,2024-01-28,Medium,Login Issue
281,198,2024-05-21,2024-05-31,Low,Bug Report
282,198,2025-01-11,2025-01-16,Medium,Login Issue
283,198,2023-09-09,2023-09-10,Medium,Onboarding
284,199,2025-06-14,2025-06-20,High,Bug Report
285,200,2024-11-11,2024-11-12,Medium,Bug Report
286,202,2024-12-24,2024-12-26,Low,Onboarding
287,202,2023-08-12,2023-08-15,High,Billing
288,203,2024-03-08,2024-03-13,Low,Onboarding
289,203,2023-03-08,2023-03-13,Low,Feature Request
290,205,2024-01-21,2024-01-24,High,Feature Request
291,205,2024-09-30,2024-10-02,High,Feature Request
292,206,2025-05-12,2025-05-16,High,Feature Request
293,206,2024-08-25,2024-08-30,Low,Billing
294,212,2025-06-13,2025-06-15,Medium,Feature Request
295,213,2024-05-16,2024-05-20,Low,Onboarding
296,214,2024-01-18,2024-01-21,High,Feature Request
297,216,2025-05-17,2025-05-18,Medium,Billing
298,216,2023-04-22,2023-04-30,Urgent,Login Issue
299,216,2024-06-21,2024-07-01,Medium,Onboarding
300,216,2024-05-30,2024-06-03,Urgent,Login Issue
301,216,2025-06-12,2025-06-19,Low,Login Issue
302,218,2024-09-19,2024-09-23,High,Onboarding
303,218,2023-06-19,2023-06-22,High,Feature Request
304,218,2024-07-07,2024-07-12,Medium,Onboarding
305,218,2023-08-14,2023-08-18,Low,Login Issue
306,218,2024-05-17,2024-05-22,Low,Bug Report
307,219,2025-06-15,2025-06-19,Low,Billing
308,219,2024-03-15,2024-03-30,Medium,Bug Report
309,221,2023-10-30,2023-11-03,Medium,Bug Report
310,222,2024-02-03,2024-02-06,Low,Bug Report
311,224,2024-10-03,2024-10-04,Low,Bug Report
312,224,2024-10-16,2024-10-22,High,Onboarding
313,229,2023-08-15,2023-08-16,Low,Bug Report
314,231,2025-04-24,2025-04-28,Medium,Bug Report
315,231,2023-02-14,2023-02-15,Medium,Feature Request
316,232,2023-06-26,2023-07-01,Low,Feature Request
317,232,2023-04-08,2023-04-09,High,Feature Request
318,234,2025-12-03,2025-12-05,Low,Feature Request
319,236,2025-08-24,2025-08-30,High,Billing
320,237,2024-12-02,2024-12-06,High,Login Issue
321,238,2025-06-05,2025-06-06,Low,Onboarding
322,239,2025-09-20,2025-09-22,High,Feature Request
323,239,2024-01-05,2024-01-08,Low,Login Issue
324,239,2025-01-21,2025-01-24,Medium,Bug Report
325,241,2025-04-10,2025-04-14,Low,Login Issue
326,241,2024-03-30,2024-04-02,High,Login Issue
327,241,2024-04-21,2024-04-25,Medium,Billing
328,242,2025-02-28,,Low,Onboarding
329,243,2025-10-21,2025-11-22,Medium,Bug Report
330,244,2024-01-12,2024-01-18,High,Billing
331,244,2023-12-18,2023-12-21,Low,Onboarding
332,244,2025-07-31,2025-08-14,High,Feature Request
333,244,2023-12-08,2023-12-13,Low,Feature Request
334,245,2025-05-05,2025-05-08,Low,Onboarding
335,245,2025-10-24,2025-10-25,Low,Billing
336,245,2023-04-10,2023-04-14,Low,Billing
337,245,2025-07-16,2025-07-18,Low,Login Issue
338,246,2023-02-15,2023-02-16,Low,Login Issue
339,246,2023-01-25,2023-01-27,Low,Billing
340,247,2023-11-10,2023-11-11,High,Bug Report
341,247,2025-03-25,2025-03-29,Medium,Bug Report
342,247,2023-09-10,2023-09-11,Low,Bug Report
343,248,2025-08-14,2025-08-15,Low,Billing
344,248,2024-05-03,2024-05-15,Medium,Login Issue
345,248,2024-02-08,2024-02-12,Medium,Bug Report
346,250,2025-12-22,2026-01-01,Low,Feature Request
347,252,2025-05-21,2025-05-22,Low,Bug Report
348,252,2025-10-12,2025-10-30,Low,Feature Request
349,253,2024-05-09,2024-05-15,Urgent,Billing
350,253,2025-08-17,2025-08-24,Medium,Login Issue
351,255,2023-09-01,2023-09-11,High,Bug Report
352,255,2024-11-27,2024-12-09,Low,Login Issue
353,256,2024-07-06,2024-07-12,High,Onboarding
354,256,2024-08-20,2024-08-24,Low,Feature Request
355,256,2023-09-21,2023-09-22,Urgent,Login Issue
356,256,2025-05-27,2025-05-28,High,Bug Report
357,257,2023-05-13,2023-05-15,Medium,Login Issue
358,257,2024-03-29,2024-04-01,Low,Login Issue
359,257,2024-10-14,2024-11-02,Low,Onboarding
360,258,2024-03-29,2024-04-03,Medium,Onboarding
361,258,2023-07-29,2023-08-03,High,Bug Report
362,258,2023-08-28,2023-09-01,Low,Feature Request
363,259,2025-12-16,2025-12-17,Low,Onboarding
364,260,2025-01-07,2025-01-11,Medium,Login Issue
365,260,2024-02-16,2024-02-18,Low,Login Issue
366,260,2024-03-31,2024-04-04,Low,Billing
367,261,2023-08-19,2023-08-21,Low,Feature Request
368,261,2023-03-31,2023-04-03,Low,Feature Request
369,261,2024-09-09,2024-09-13,High,Login Issue
370,261,2025-02-20,2025-02-23,Medium,Onboarding
371,261,2023-03-06,2023-03-07,Low,Login Issue
372,263,2024-04-29,2024-04-30,High,Login Issue
373,263,2023-02-20,,Low,Feature Request
374,263,2023-03-01,2023-03-02,High,Feature Request
375,264,2024-09-29,2024-09-30,Medium,Bug Report
376,266,2024-02-01,2024-02-06,Low,Billing
377,267,2024-10-14,2024-10-17,Low,Onboarding
378,268,2024-07-23,2024-07-29,Low,Feature Request
379,269,2025-01-21,2025-01-22,High,Onboarding
380,269,2024-08-19,2024-08-26,Medium,Onboarding
381,269,2024-09-14,2024-09-18,Low,Onboarding
382,269,2023-10-21,2023-10-24,Low,Feature Request
383,269,2024-04-23,2024-04-30,Urgent,Billing
384,270,2024-05-01,2024-05-13,High,Login Issue
385,271,2024-01-22,2024-01-27,Low,Feature Request
386,272,2024-09-10,2024-09-11,High,Feature Request
387,273,2023-02-07,2023-02-11,Medium,Bug Report
388,273,2023-03-27,2023-03-28,Medium,Feature Request
389,273,2025-07-07,2025-07-09,Low,Billing
390,273,2023-09-01,2023-09-06,Low,Bug Report
391,274,2024-12-29,2025-01-07,Medium,Onboarding
392,274,2023-05-17,2023-05-19,Low,Bug Report
393,274,2024-11-20,2024-11-22,High,Onboarding
394,275,2025-09-10,2025-09-11,High,Login Issue
395,276,2024-12-26,2024-12-29,Medium,Onboarding
396,277,2024-11-09,2024-11-12,Urgent,Bug Report
397,278,2025-02-01,2025-02-04,Low,Feature Request
398,278,2024-06-23,2024-06-25,Low,Feature Request
399,279,2023-01-06,2023-01-09,High,Login Issue
400,281,2023-09-11,2023-09-13,Low,Bug Report
401,281,2023-10-12,2023-10-29,High,Feature Request
402,281,2024-06-19,2024-06-20,Medium,Billing
403,281,2025-01-01,2025-01-02,Low,Bug Report
404,284,2023-09-15,2023-09-22,Low,Billing
405,286,2023-01-31,2023-02-06,Low,Bug Report
406,286,2024-03-28,2024-04-04,Low,Login Issue
407,289,2025-07-15,,Medium,Login Issue
408,289,2025-09-27,2025-09-28,Medium,Onboarding
409,290,2024-09-13,2024-09-23,Low,Feature Request
410,290,2025-09-19,2025-09-26,Urgent,Login Issue
411,293,2023-11-24,2023-11-30,Low,Onboarding
412,293,2025-02-15,2025-02-16,Low,Login Issue
413,294,2025-03-31,2025-04-03,Low,Onboarding
414,297,2024-07-07,2024-07-09,Urgent,Feature Request
415,297,2023-01-10,2023-01-12,Low,Billing
416,298,2024-03-30,2024-03-31,High,Bug Report
417,298,2025-05-03,2025-05-12,Low,Onboarding
418,298,2023-07-05,2023-07-07,Low,Onboarding
419,298,2025-08-04,,High,Bug Report
420,300,2025-05-27,2025-05-30,Low,Feature Request
421,301,2023-09-05,2023-09-09,High,Billing
422,301,2025-07-13,2025-07-15,High,Feature Request
423,302,2023-10-09,2023-10-11,Low,Onboarding
424,304,2025-12-14,2025-12-16,Low,Onboarding
425,304,2023-12-19,2023-12-24,High,Feature Request
426,304,2024-03-30,2024-04-01,Low,Login Issue
427,304,2024-06-09,2024-06-21,Low,Billing
428,306,2025-01-13,2025-01-15,Low,Onboarding
429,310,2025-04-30,2025-05-03,Medium,Billing
430,311,2024-02-07,2024-02-08,Urgent,Onboarding
431,311,2024-05-04,2024-05-07,Medium,Feature Request
432,312,2024-08-07,2024-08-12,High,Login Issue
433,312,2025-02-24,2025-02-26,Medium,Bug Report
434,312,2023-05-02,2023-05-03,Low,Onboarding
435,314,2024-06-08,2024-06-14,Low,Onboarding
436,314,2024-04-07,2024-04-11,Medium,Bug Report
437,316,2025-03-28,2025-03-31,Low,Onboarding
438,316,2025-09-09,2025-09-11,Medium,Onboarding
439,316,2025-02-13,2025-02-15,Low,Login Issue
440,317,2023-02-25,2023-02-26,Low,Onboarding
441,318,2023-08-08,2023-08-10,Low,Billing
442,318,2025-05-30,2025-06-01,Urgent,Billing
443,318,2024-09-18,2024-09-20,Medium,Onboarding
444,318,2024-01-19,2024-01-21,Low,Billing
445,320,2024-01-13,2024-01-14,Medium,Bug Report
446,321,2024-07-14,2024-07-16,Low,Bug Report
447,322,2023-08-27,2023-08-28,Urgent,Login Issue
448,322,2025-07-26,2025-08-01,Low,Onboarding
449,322,2023-12-11,2023-12-12,Urgent,Billing
450,326,2023-02-27,2023-02-28,Medium,Bug Report
451,327,2023-09-21,2023-09-26,Low,Bug Report
452,328,2023-02-08,2023-02-20,Medium,Onboarding
453,328,2023-08-22,2023-09-02,Urgent,Bug Report
454,328,2025-05-29,2025-06-02,Urgent,Onboarding
455,331,2023-03-24,2023-03-26,Low,Bug Report
456,331,2024-05-01,2024-05-02,Medium,Billing
457,332,2023-09-23,2023-09-25,Medium,Feature Request
458,335,2025-05-12,2025-05-13,Medium,Feature Request
459,337,2025-09-16,2025-09-20,Medium,Billing
460,338,2024-11-04,2024-11-14,High,Feature Request
461,338,2024-02-07,2024-02-12,Medium,Login Issue
462,339,2023-11-02,2023-11-06,Low,Bug Report
463,339,2025-06-07,2025-06-09,Medium,Onboarding
464,339,2023-09-23,2023-09-26,Medium,Bug Report
465,340,2024-07-02,2024-07-15,Medium,Bug Report
466,340,2025-02-10,2025-02-16,Medium,Feature Request
467,341,2024-11-23,2024-11-24,High,Feature Request
468,342,2023-12-13,2023-12-14,Medium,Onboarding
469,342,2023-03-10,2023-03-13,Low,Feature Request
470,342,2024-09-12,,Low,Onboarding
471,342,2023-04-05,2023-04-15,Medium,Feature Request
472,342,2023-11-23,2023-11-25,Low,Login Issue
473,343,2023-03-30,2023-03-31,Medium,Login Issue
474,345,2024-02-09,2024-02-10,High,Feature Request
475,346,2025-02-21,2025-02-22,High,Billing
476,347,2024-01-07,2024-01-08,High,Login Issue
477,347,2024-08-17,2024-08-18,Medium,Login Issue
478,348,2025-03-21,2025-03-24,Medium,Feature Request
479,349,2024-12-20,2024-12-26,High,Billing
480,350,2023-11-15,2023-11-17,Medium,Billing
481,351,2025-05-03,2025-05-06,Medium,Bug Report
482,351,2025-03-22,2025-03-31,Urgent,Billing
483,352,2024-11-19,2024-11-30,Medium,Bug Report
484,352,2025-12-18,2025-12-20,Medium,Bug Report
485,352,2025-04-08,2025-04-14,Medium,Feature Request
486,352,2023-03-31,2023-04-01,Low,Billing
487,353,2025-11-22,2025-11-26,High,Feature Request
488,354,2025-02-20,2025-02-24,Medium,Bug Report
489,355,2023-04-27,2023-05-01,Low,Feature Request
490,355,2023-03-28,2023-03-29,Medium,Onboarding
491,356,2025-11-16,2025-11-21,Medium,Feature Request
492,359,2025-11-09,2025-11-11,Medium,Feature Request
493,359,2025-11-09,2025-11-19,Medium,Billing
494,360,2024-07-11,2024-07-12,Low,Onboarding
495,361,2024-07-03,2024-07-08,Low,Login Issue
496,362,2023-04-23,2023-04-25,Urgent,Onboarding
497,363,2023-06-16,2023-06-18,Low,Bug Report
498,363,2023-06-03,2023-06-05,Low,Feature Request
499,363,2023-10-22,2023-10-24,High,Onboarding
500,364,2025-01-18,2025-01-20,Low,Feature Request
501,368,2025-11-29,2025-12-07,Medium,Onboarding
502,369,2024-10-22,2024-10-26,Low,Login Issue
503,370,2025-01-31,2025-02-06,Low,Login Issue
504,370,2024-07-10,2024-07-12,Medium,Onboarding
505,372,2025-09-26,2025-09-27,Low,Login Issue
506,373,2023-07-22,2023-07-25,Medium,Bug Report
507,373,2023-10-19,2023-10-24,High,Bug Report
508,373,2025-05-15,2025-05-30,Low,Login Issue
509,375,2025-02-05,2025-02-07,Medium,Feature Request
510,375,2023-01-11,2023-01-19,Medium,Billing
511,375,2025-01-23,2025-02-03,Urgent,Billing
512,375,2025-08-15,,Medium,Billing
513,376,2023-02-13,2023-02-19,Medium,Feature Request
514,376,2023-08-12,2023-08-15,Medium,Onboarding
515,376,2025-11-06,2025-11-10,Medium,Login Issue
516,377,2024-03-12,2024-03-16,Urgent,Onboarding
517,378,2024-08-09,2024-08-18,Low,Feature Request
518,378,2024-04-04,2024-04-05,Low,Feature Request
519,378,2024-05-19,2024-05-24,High,Onboarding
520,378,2025-11-25,2025-11-27,Low,Login Issue
521,379,2024-06-18,2024-06-26,Low,Onboarding
