customer_id,company_name,country,company_size_band,signup_date,acquisition_channel
45,"Arroyo, Miller and Tucker",Canada,1-10,06/18/2024,Direct
46,Spence PLC,US,11-50,12-Jun-2025,LinkedIn Ads
47,Anderson Group,U.S.A,11-50,04/01/2023,Referral
48,"Martin, Rose and Obrien",United States,11-50,07-Nov-2024,Organic Search
49,Hickman Ltd,IN,51-200,04/04/2025,Organic Search
50,"Harris, Collins and Carney",India,11-50,08-Sep-2024,Referral
51,"Brooks, Lam and Hayes",Britain,11-50,2024-03-13,Referral
52,Walker LLC,US,51-200,11/07/2023,Referral
53,Chapman and Sons,United States,1000+,16/05/2024,Organic Search
54,"Robinson, Jones and Welch",IN,11-50,2025-10-09,Google Ads
55,Jones Inc,India,51-200,2023-12-27,Organic Search
56,Jones-Young,Britain,1000+,12/23/2025,Organic Search
57,"Washington, Ryan and Cummings",AU,201-1000,02/07/2025,Organic Search
58,"Johnston, Sanchez and Kennedy",AUS,11-50,03/12/2025,Google Ads
59,Lee-Davis,US,1-10,2023-06-15,Google Ads
60,Gomez-Jenkins,U.K.,11-50,2025-08-12,Google Ads
61,"Brown, Valdez and Lucas",AU,11-50,02/18/2025,Direct
62,Powell LLC,UK,,09/26/2025,LinkedIn Ads
63,Wright and Sons,IN,1000+,2023-09-19,LinkedIn Ads
64,"West, Henderson and Ramirez",U.S.A,201-1000,10/05/2023,Google Ads
65,Baxter Inc,U.S.A,51-200,2024-07-23,Referral
66,Morton-Chase,India,1-10,2024-12-17,
67,Williams PLC,Canada,11-50,11/02/2023,Google Ads
68,Novak and Sons,U.K.,1-10,25/01/2025,Organic Search
69,Russell Group,Canada,201-1000,22/02/2023,Organic Search
70,Hancock Inc,USA,51-200,2023-07-28,Meta Ads
71,Gray Group,U.S.A,,01/28/2025,Organic Search
72,House-Glover,US,51-200,30-Jul-2025,LinkedIn Ads
73,Henderson-Bernard,Bharat,11-50,17/09/2025,Referral
74,"Stanley, Tucker and Lee",Australia,201-1000,07/25/2024,Google Ads
75,Novak PLC,U.S.A,1-10,27-Oct-2024,Google Ads
76,"Daniels, Adkins and Brown",UK,1-10,06/25/2023,LinkedIn Ads
77,"Woods, Calhoun and Schmidt",IN,51-200,06-Jul-2025,Google Ads
78,Yu Inc,IN,11-50,27-Aug-2025,Meta Ads
79,Jones Inc,IN,1-10,19/09/2024,Google Ads
80,"Hensley, Powell and David",U.S.A,51-200,2024-07-20,Direct
81,"Sanchez, Wheeler and Harvey",AUS,11-50,2024-04-10,Meta Ads
82,Sandoval-Cunningham,CA,11-50,16-Sep-2023,
83,Donovan-Harris,Britain,1-10,2024-11-28,Google Ads
84,"Edwards, Baker and Anderson",United Kingdom,1-10,20/04/2023,Referral
85,"Evans, Stewart and Walton",U.S.A,51-200,04/07/2024,Meta Ads
86,Smith PLC,United States,201-1000,23/07/2023,Google Ads
87,"Ferrell, Jones and Lewis",United States,1-10,17/11/2023,LinkedIn Ads
88,Anderson-Bailey,US,1-10,18/07/2025,Google Ads
89,Suarez LLC,UK,201-1000,02-Nov-2023,Referral
90,Moore-Bass,U.K.,1-10,06/18/2025,Organic Search
91,"Turner, Riggs and Roman",United Kingdom,,2025-06-03,Organic Search
92,"Smith, Montoya and Evans",CA,51-200,24-Mar-2023,Google Ads
93,"Garcia, Humphrey and Baker",U.S.A,1000+,2025-10-04,LinkedIn Ads
94,Newton and Sons,AUS,51-200,2025-04-23,Meta Ads
95,Campbell-Clark,U.K.,1-10,2024-05-31,Direct
96,Harris-Walters,Bharat,11-50,08/04/2025,Google Ads
97,Wagner-King,India,11-50,2024-06-30,Direct
98,Davis Group,USA,1-10,2023-11-21,Google Ads
99,Williams-Cook,United Kingdom,11-50,11/12/2023,Organic Search
100,Walsh LLC,Canada,11-50,24/07/2025,Meta Ads
101,Figueroa PLC,AUS,1-10,29-Apr-2025,
102,"Patterson, Smith and Jones",AU,201-1000,09/29/2025,LinkedIn Ads
103,"Mckee, Gardner and Davenport",U.K.,1000+,01/22/2024,Google Ads
104,"Tran, Jordan and Williams",U.S.A,11-50,02/19/2025,Organic Search
105,Nolan-Flynn,Canada,1000+,2025-10-25,Meta Ads
106,Nolan and Sons,Britain,51-200,02/01/2023,LinkedIn Ads
107,"Wright, Garcia and Deleon",IN,11-50,11/24/2024,Meta Ads
108,Dickson-Brady,CA,11-50,15/03/2023,Google Ads
109,Hancock and Sons,IN,51-200,21-Jul-2023,Organic Search
110,Johnson-Doyle,Canada,51-200,10/26/2024,Meta Ads
111,Patton-Jenkins,UK,1-10,12/15/2023,Organic Search
112,"Shields, Cochran and Adams",Canada,11-50,04/20/2024,
113,"Rodriguez, Brennan and Garrison",Canada,11-50,06/01/2023,Meta Ads
114,Gonzalez Group,IN,1-10,10-Sep-2024,Meta Ads
115,Torres-Pope,U.K.,1000+,2023-02-14,Organic Search
116,Walker Ltd,CA,51-200,09/08/2024,Google Ads
117,Ross LLC,Bharat,11-50,10/08/2023,Direct
118,Rasmussen LLC,US,1-10,27/09/2023,Meta Ads
119,May-Ross,IN,11-50,12/23/2025,Meta Ads
120,"Rivera, Johnson and Wiley",CA,51-200,24/11/2024,LinkedIn Ads
121,White-Estes,AU,1000+,2025-03-24,Referral
122,Johnson-Carlson,United States,11-50,20-Jul-2025,Organic Search
123,Chandler-Edwards,USA,1-10,23/08/2025,Referral
124,"Joyce, Wilson and Lam",Bharat,201-1000,2025-08-08,Meta Ads
125,Scott Ltd,U.S.A,1-10,08/26/2023,Referral
126,Smith-Frost,UK,51-200,29-Apr-2025,Referral
127,"Mcdaniel, Bentley and Mclaughlin",US,11-50,20-Mar-2024,Direct
128,Diaz Inc,U.K.,11-50,05/05/2023,Google Ads
129,"Mccall, Hanson and Alvarado",USA,1-10,13/02/2023,Meta Ads
130,Cortez LLC,USA,51-200,2024-03-18,Google Ads
131,"Parker, Ortiz and Powell",USA,11-50,24/09/2023,Referral
132,Spencer-Lee,USA,1-10,2024-10-25,Meta Ads
133,"Bentley, Byrd and Orr",IN,51-200,2025-07-07,LinkedIn Ads
134,"Carroll, Sullivan and Bass",Bharat,,12/03/2025,Organic Search
135,Mitchell-Jordan,United Kingdom,51-200,01/10/2025,LinkedIn Ads
136,"Lawson, Morris and Ramos",US,11-50,10/27/2024,Organic Search
137,"Lewis, Kennedy and Santana",United States,11-50,03/16/2024,Referral
138,"Jackson, Miller and Robertson",United Kingdom,11-50,10/02/2024,Organic Search
139,"Harvey, Davis and Crane",United States,11-50,2023-07-10,Organic Search
140,Chambers and Sons,U.K.,11-50,2023-09-08,Referral
141,Hernandez Inc,CA,1-10,2024-12-21,LinkedIn Ads
142,Riggs PLC,US,51-200,2023-08-24,Organic Search
143,Gibson Ltd,Bharat,1-10,01-Jul-2024,Meta Ads
144,"Lee, Horton and Snyder",USA,1-10,31/03/2025,Organic Search
145,Hernandez Ltd,U.S.A,1-10,2024-11-29,Meta Ads
146,Stafford Inc,Australia,51-200,11/19/2023,Google Ads
147,Robinson-Brock,Britain,1-10,28-Apr-2025,Referral
148,"Holmes, Williams and Wright",Bharat,11-50,2025-09-23,Meta Ads
149,Bryant Group,US,51-200,03/08/2024,Referral
150,"Schmidt, Hansen and Stewart",India,11-50,22-Sep-2023,Organic Search
151,Salazar-Ball,United States,1-10,06/12/2025,Direct
152,"Simmons, Meadows and Griffin",IN,1-10,08/15/2024,Google Ads
153,Manning Group,AUS,11-50,2023-06-30,Google Ads
154,Green-Wright,US,1-10,26/11/2024,Referral
155,"Ramirez, Strickland and Washington",CA,51-200,20/12/2024,Referral
156,Hill Inc,USA,51-200,11/10/2023,Organic Search
157,"Mitchell, Nelson and Flores",Britain,201-1000,10/23/2024,
158,"Miller, Hernandez and Reyes",IN,11-50,26-Apr-2023,
159,Mccarthy Inc,Australia,11-50,2023-07-04,LinkedIn Ads
160,Russell-Daniels,UK,11-50,20-Oct-2024,LinkedIn Ads
161,Brown-Wall,Canada,11-50,30/10/2025,Google Ads
162,Stein-Silva,US,11-50,04-Mar-2025,Meta Ads
163,"Smith, Gilmore and Johnston",United States,1-10,02/03/2025,Organic Search
164,Smith-Bell,USA,1-10,2024-12-17,Organic Search
165,Castaneda-Ashley,U.S.A,51-200,2024-11-03,Organic Search
166,Medina-Navarro,IN,11-50,11/07/2025,Meta Ads
167,"Hurst, Freeman and Nelson",USA,1-10,2023-11-14,Referral
168,Johnson-Rogers,Bharat,11-50,26/09/2023,Google Ads
169,"Yates, Ramsey and Pittman",India,11-50,04/21/2025,Organic Search
170,Hooper PLC,USA,1000+,09/25/2024,Referral
171,Meadows PLC,U.K.,11-50,21/02/2025,LinkedIn Ads
172,"Alvarado, Miller and Patterson",Australia,201-1000,2025-09-11,Organic Search
173,White-Green,USA,11-50,12/07/2024,LinkedIn Ads
174,Lewis-Murphy,AUS,11-50,2023-02-24,Meta Ads
175,Ramirez-Bean,United States,201-1000,14/10/2024,Referral
176,King-Miller,U.S.A,51-200,2023-10-12,LinkedIn Ads
177,Curry Inc,USA,11-50,16/12/2025,Referral
178,Walker-Jones,Britain,1-10,09/05/2023,
179,"Williams, Johnson and Wright",IN,1-10,2025-05-29,Meta Ads
180,Howell and Sons,U.K.,1000+,2023-05-19,LinkedIn Ads
181,Wells Inc,U.S.A,11-50,2023-03-31,
182,"Gould, Marshall and Scott",United States,1-10,11/11/2024,Meta Ads
183,Jackson-Lawson,CA,51-200,09-Jan-2024,Google Ads
184,"Higgins, Strickland and Martin",USA,1-10,03/27/2023,Meta Ads
185,Rodriguez-Johnson,USA,11-50,2024-08-08,Referral
186,Johnston-Odonnell,IN,51-200,03/30/2025,Referral
187,Sanders-Espinoza,IN,1-10,29/11/2025,Google Ads
188,Vargas Ltd,U.K.,1-10,07/30/2023,Organic Search
189,Garcia LLC,U.S.A,11-50,12/20/2024,Organic Search
190,"Burke, Martinez and Riggs",United States,51-200,03/06/2023,LinkedIn Ads
191,Reed Group,Canada,1-10,06/16/2025,Google Ads
192,"Wood, Hunter and Peterson",Canada,51-200,11/11/2023,Direct
193,Short-Garcia,Britain,11-50,10/05/2024,Google Ads
194,Reid-Poole,United Kingdom,51-200,06/20/2024,Organic Search
195,"Hernandez, Thompson and Boyd",USA,11-50,01-Jun-2023,Referral
196,"Nelson, Morton and Medina",Bharat,11-50,13/05/2023,Meta Ads
197,Marshall-Petersen,Bharat,1-10,2024-04-04,Google Ads
198,"Adams, Christian and Rivas",US,51-200,15-Aug-2025,Organic Search
199,Ramirez Group,U.S.A,11-50,12-Dec-2025,LinkedIn Ads
200,Christensen PLC,IN,51-200,12/08/2025,Meta Ads
201,"Barnett, Rogers and Snyder",India,11-50,05-Jun-2025,Referral
202,White-Lewis,US,1-10,06-Apr-2024,Direct
203,Peterson-Beard,US,11-50,14/09/2023,Organic Search
204,"Beard, Peters and Black",US,,26-Mar-2023,Google Ads
205,Miller Ltd,Bharat,11-50,03-May-2025,Google Ads
206,Freeman-Chang,Britain,11-50,09/01/2024,Organic Search
207,"Alvarez, Joseph and West",USA,201-1000,10/02/2024,Meta Ads
208,Davis and Sons,US,11-50,20/11/2025,Meta Ads
209,Holt-Torres,United States,201-1000,17/08/2024,Referral
210,"Wood, Tran and Cooper",AU,1-10,02-Oct-2024,Google Ads
211,"Pierce, Bell and Chavez",United Kingdom,11-50,2025-03-16,Direct
212,King-Martinez,U.S.A,11-50,08-Aug-2024,Referral
213,Stewart Ltd,IN,11-50,2023-04-03,Organic Search
214,"Tapia, Vaughn and Lee",U.S.A,51-200,2024-07-26,Organic Search
215,"Washington, Hardy and Bray",US,51-200,2025-01-18,Google Ads
216,"Carlson, Hooper and Wall",US,11-50,28-Aug-2025,Google Ads
217,Perez-White,US,11-50,11/19/2024,LinkedIn Ads
218,Erickson and Sons,AUS,51-200,2024-11-09,Direct
219,Williams-Brown,U.K.,51-200,04/11/2024,Organic Search
220,Terry-Martinez,USA,11-50,03/06/2023,Organic Search
221,Garcia-Smith,USA,11-50,2025-04-20,Organic Search
222,Harrison-Alexander,Bharat,11-50,29/02/2024,Direct
223,Sheppard LLC,U.K.,51-200,26-Dec-2024,Referral
224,Wilson-Jones,India,1-10,19-May-2024,Meta Ads
225,Jones-Soto,Bharat,1-10,28-Sep-2025,Meta Ads
226,Hernandez PLC,U.S.A,51-200,19-Mar-2025,Direct
227,Miller-Wright,Canada,201-1000,10-Dec-2024,Organic Search
228,"Duran, Obrien and Gibbs",CA,1-10,09/10/2023,
229,Rowe Group,India,11-50,2023-07-25,Organic Search
230,Kerr-Evans,Canada,51-200,13-Apr-2025,Referral
231,"Branch, Torres and Oliver",United States,51-200,2023-07-03,Google Ads
232,"Choi, Garcia and Farmer",Canada,201-1000,05/05/2025,Google Ads
233,"Clark, Guerrero and Moore",India,201-1000,15-Aug-2024,Google Ads
234,Arnold and Sons,U.S.A,201-1000,02/10/2023,LinkedIn Ads
235,Ortiz Ltd,Bharat,51-200,10/06/2024,Google Ads
236,"Harrison, Johnson and Roberts",U.S.A,11-50,25/05/2025,Google Ads
237,Warner-Gibson,UK,1-10,14-Jan-2023,Google Ads
238,"Hall, Baker and Moody",United Kingdom,51-200,19-Jun-2024,Organic Search
239,"Guerrero, Peck and Coleman",US,11-50,29/08/2023,Direct
240,"Walker, Hernandez and Baker",Britain,11-50,04/02/2025,LinkedIn Ads
241,Jones and Sons,Bharat,11-50,2023-06-17,LinkedIn Ads
242,Larson-Holloway,USA,1-10,11/03/2023,Referral
243,Gonzales-Harrison,U.S.A,11-50,04/24/2023,
244,Lyons-Bender,IN,11-50,2023-02-14,Referral
245,"Fernandez, Kim and George",United Kingdom,201-1000,05/04/2023,
246,Navarro-Munoz,USA,11-50,05/10/2025,Referral
247,Davis Ltd,USA,1-10,13/12/2024,Direct
248,"Matthews, Smith and Hubbard",Australia,11-50,03/09/2024,Organic Search
249,Johnston-Hines,US,1-10,11/14/2023,Direct
250,Ruiz Ltd,India,,2024-05-07,Google Ads
251,Moon-White,United States,11-50,03/04/2025,LinkedIn Ads
252,"Graham, Olsen and Costa",U.K.,51-200,24-Apr-2024,Organic Search
253,Bailey-Cook,USA,1-10,03/12/2025,Meta Ads
254,"Garcia, Martin and Jenkins",IN,1-10,12-Oct-2025,Meta Ads
255,Roberts-Landry,IN,1-10,02/11/2023,Google Ads
256,"Johnson, Miller and King",USA,201-1000,06/08/2025,Organic Search
257,Cordova Group,US,1-10,21/02/2024,Google Ads
258,"Bryan, Smith and Booth",U.S.A,201-1000,22/03/2023,Google Ads
259,Gutierrez-Lopez,U.K.,1000+,2024-09-12,Google Ads
260,Dean-Jimenez,IN,51-200,11-May-2024,Organic Search
261,Wolf-Harris,IN,11-50,08/12/2025,Meta Ads
262,"Anderson, Roberts and Gilmore",Britain,201-1000,17/10/2024,Meta Ads
263,Martinez-Dudley,India,11-50,18/06/2024,Organic Search
264,"Lloyd, Mckinney and Collins",U.S.A,11-50,05/18/2024,Organic Search
265,Tran Inc,CA,1-10,08/01/2025,Referral
266,Gay Inc,United States,1-10,2025-12-09,Referral
267,Valentine-Holland,UK,51-200,05/20/2023,Google Ads
268,Jimenez Ltd,India,,14-Jan-2023,LinkedIn Ads
269,Hicks-Hill,U.S.A,1-10,03-Jan-2024,Google Ads
270,Baird-Sanchez,AUS,1-10,23/03/2025,Direct
271,"Thomas, Lee and Greene",United States,1-10,2023-03-06,
272,"Suarez, Shields and Hill",India,51-200,2025-10-20,Organic Search
273,Morgan-French,Australia,1-10,2024-04-15,Referral
274,Hoover-Campbell,CA,,09/03/2023,Referral
275,Monroe-Carpenter,Bharat,201-1000,03/26/2025,Meta Ads
276,"Burns, Hernandez and Ryan",Bharat,11-50,2024-11-10,Organic Search
277,Cook-Hines,U.K.,1-10,04/20/2023,Google Ads
278,Gibson-Morris,CA,11-50,03/02/2023,Referral
279,Pollard and Sons,Britain,51-200,25-Jun-2023,
280,"Reyes, Chase and Jenkins",USA,,08-Mar-2025,Google Ads
281,Garner-Thornton,India,1-10,2023-09-29,LinkedIn Ads
282,Hughes-Alvarado,US,11-50,07/10/2023,
283,"Pollard, Simpson and Johnson",United States,11-50,12-May-2024,Google Ads
284,"Sanford, Rivera and Garcia",USA,1-10,10-May-2023,Meta Ads
285,Garcia-Lozano,USA,11-50,10/12/2025,Google Ads
286,Bowen Group,U.S.A,11-50,05/11/2024,LinkedIn Ads
287,"Booker, Jones and Harrington",USA,1-10,09/08/2025,Direct
288,Morgan-Schwartz,Canada,11-50,29/10/2024,Referral
289,"Miller, Murphy and Craig",UK,1000+,25-Feb-2023,LinkedIn Ads
290,"James, Stewart and Higgins",Australia,51-200,17/04/2025,Google Ads
291,Brennan-Johnson,IN,11-50,06/01/2023,Organic Search
292,Young Ltd,U.K.,1-10,2023-06-24,Google Ads
293,Bright-Francis,Britain,,10/11/2024,LinkedIn Ads
294,Good-Hodges,Britain,51-200,2025-08-06,Organic Search
295,"Brennan, Wallace and Benson",U.K.,201-1000,01-May-2025,Google Ads
296,Williams Inc,U.S.A,11-50,02/28/2024,Meta Ads
297,Howard-Jordan,US,51-200,02/04/2023,Google Ads
298,Schmidt PLC,Canada,1-10,22/11/2025,Google Ads
299,"Sparks, Jackson and Miller",Bharat,1-10,13/01/2024,Organic Search
300,Harvey-Allen,Britain,1-10,2025-03-07,Google Ads
301,"Thomas, Murray and King",UK,1-10,19-Jan-2025,LinkedIn Ads
302,Estrada-Nolan,Britain,1-10,22-Aug-2023,Referral
303,Santana-Byrd,Canada,1-10,02/10/2023,Google Ads
304,Jones LLC,Britain,11-50,10/10/2023,LinkedIn Ads
305,"Evans, Hayden and Vaughn",Britain,1-10,14-Aug-2024,
306,Bruce-Gonzalez,CA,1-10,10/07/2023,Meta Ads
307,Castaneda-Rodriguez,IN,,28-Jun-2025,Google Ads
308,Armstrong-Andrews,USA,1-10,2024-08-14,LinkedIn Ads
309,"Phillips, Spence and Barrett",U.K.,11-50,21/01/2025,Referral
310,Smith-Grimes,Canada,1-10,2024-05-21,Direct
311,"Beltran, Lozano and Mcgee",United Kingdom,1-10,04/30/2024,Organic Search
312,Parsons-Hall,USA,51-200,28/02/2024,Referral
313,Robinson-Lee,US,11-50,2024-08-15,Direct
314,Byrd-Le,U.S.A,1000+,02/05/2023,Referral
315,"Becker, Taylor and Davis",US,51-200,21-May-2024,Organic Search
316,"Lucas, Parker and Alexander",IN,1-10,14-Jul-2025,Referral
317,"Diaz, Anderson and Browning",IN,,2025-07-20,Meta Ads
318,Burgess-Thompson,IN,201-1000,03/01/2025,Referral
319,Buchanan LLC,U.K.,1-10,03-Aug-2024,Organic Search
320,"Shaw, Nelson and Martin",Australia,1-10,05/04/2023,Referral
321,Coffey-Phillips,United Kingdom,1-10,26/05/2025,Organic Search
322,Brock-Mcdonald,AUS,51-200,11/07/2023,Meta Ads
323,Taylor and Sons,US,11-50,2024-04-24,Google Ads
324,"Ramsey, Whitney and Coffey",USA,51-200,11/29/2025,Google Ads
325,"Diaz, Gibbs and Smith",IN,1-10,26-May-2023,Google Ads
326,"Martinez, Richardson and Curry",Australia,51-200,22/02/2025,Referral
327,Richards-Carson,United States,11-50,12/03/2023,Organic Search
328,Rodriguez-Hall,IN,1-10,03/20/2024,Google Ads
329,Harvey PLC,U.S.A,51-200,06-Oct-2024,Google Ads
330,Herman-Walker,Bharat,51-200,24/02/2023,Organic Search
331,Reid Group,IN,51-200,22/04/2023,Referral
332,"Turner, Ortiz and Taylor",United Kingdom,201-1000,12/17/2025,Google Ads
333,Torres Group,AU,11-50,2025-05-11,Organic Search
334,Davis PLC,United States,1-10,29-Jan-2023,Google Ads
335,Price LLC,Bharat,11-50,30/04/2025,LinkedIn Ads
336,"Avery, Horton and Fernandez",US,11-50,06/11/2023,Google Ads
337,"Newton, Moore and Perry",United Kingdom,51-200,2024-09-27,
338,Bass PLC,Canada,11-50,17/07/2025,Google Ads
339,Crosby-Ramirez,USA,1-10,24-Jan-2023,Direct
340,"Wood, Ramos and Sampson",USA,51-200,07/04/2024,Google Ads
341,Garcia-Jennings,United States,51-200,22-Jun-2024,Organic Search
342,"Winters, Newman and Brown",USA,1-10,2025-01-23,Referral
343,Lopez-Martinez,United States,,01/04/2023,Google Ads
344,Davis-Lewis,United States,1-10,2025-05-08,Google Ads
345,"Harper, Smith and Buchanan",United Kingdom,51-200,2025-10-25,Google Ads
346,Zhang PLC,Canada,201-1000,08/10/2025,Referral
347,Jones PLC,USA,11-50,08/20/2024,Meta Ads
348,Willis and Sons,Canada,,2024-05-17,Direct
349,Schroeder-Kramer,Canada,51-200,09/02/2025,Organic Search
350,"Smith, Garrison and Thomas",United Kingdom,51-200,10/19/2023,Google Ads
351,Fernandez and Sons,IN,1000+,07/27/2025,Google Ads
352,Guerrero Inc,United States,51-200,06/09/2025,Google Ads
353,Smith and Sons,Bharat,1-10,2024-10-30,Meta Ads
354,"Morris, Thompson and Williams",USA,11-50,09/07/2025,LinkedIn Ads
355,"Fisher, Wilson and Brown",Britain,201-1000,2024-06-26,Google Ads
356,Strickland-Palmer,US,1-10,31-Oct-2023,Google Ads
357,Hayes and Sons,USA,1000+,2023-03-05,Referral
358,"Williams, Logan and Camacho",UK,1-10,09/06/2023,Referral
359,"Turner, Schneider and Johnson",United States,201-1000,06/14/2024,Google Ads
360,Boone-Simmons,Australia,,11/10/2024,Direct
361,Henry Group,AUS,1-10,13/10/2025,Organic Search
362,Lam LLC,U.S.A,1-10,11/01/2023,Organic Search
363,"Hernandez, Martinez and Weber",AUS,1-10,05/05/2023,Meta Ads
364,"Kelley, Nguyen and Vang",Bharat,1000+,02/09/2023,Referral
365,"Phillips, Wagner and Jordan",US,1-10,06-Mar-2025,
366,"Wilson, Pena and Rich",U.S.A,11-50,20/12/2025,Organic Search
367,"Le, Lewis and Hayes",IN,,28/12/2025,Direct
368,Gutierrez Group,Britain,201-1000,27-Dec-2024,Direct
369,Perry-Davis,AU,201-1000,04/01/2025,Google Ads
370,Edwards-Scott,UK,,05/10/2025,
371,Mcdaniel Group,U.S.A,1-10,02/01/2023,Organic Search
372,Davis Inc,CA,1-10,02-May-2023,Organic Search
373,Reynolds Ltd,CA,11-50,03/21/2025,Meta Ads
374,"Watson, Anderson and Brown",IN,1-10,11-Oct-2024,Direct
375,"Hoffman, Santiago and Jenkins",USA,1-10,02/13/2025,Organic Search
376,"Pugh, Henderson and Moon",AU,1-10,2023-03-08,Meta Ads
377,Schmitt PLC,Canada,51-200,2024-11-09,Google Ads
378,Bell-Lane,AU,11-50,18-Nov-2024,
379,Moore Group,Bharat,1-10,01/03/2023,LinkedIn Ads
380,Boone LLC,Britain,11-50,20/12/2024,Google Ads
381,"Richardson, Farmer and Andrews",United States,1-10,10/03/2023,
382,Bruce-Villegas,Australia,11-50,06/03/2023,Referral
383,"Austin, Day and Johnson",IN,,04/12/2023,LinkedIn Ads
384,"Gallegos, Adams and White",U.K.,1-10,07/30/2024,Google Ads
385,"Farmer, Dorsey and Bell",US,11-50,08/01/2023,Meta Ads
386,Kane PLC,USA,11-50,12/16/2023,Direct
387,"Morales, Thomas and Schultz",U.K.,11-50,06/07/2023,Meta Ads
388,Davis PLC,U.K.,11-50,2025-06-19,
389,Bennett Group,US,1000+,04/27/2025,Organic Search
390,Moore-Collins,CA,11-50,27/04/2024,Google Ads
391,Frank-Bradley,U.S.A,201-1000,2023-12-21,Google Ads
392,Ware and Sons,Britain,1000+,2024-02-18,Organic Search
393,Webster Inc,U.S.A,201-1000,10/29/2024,
394,"Miller, Ramos and Coleman",USA,11-50,2023-10-31,Organic Search
395,"Ramos, Nelson and Fischer",United Kingdom,201-1000,08/08/2024,Referral
396,Reed Inc,Britain,1-10,03/18/2023,LinkedIn Ads
397,Gregory-Watkins,US,1-10,01-May-2024,LinkedIn Ads
398,"Estrada, Williams and Foster",AUS,1-10,28/09/2024,LinkedIn Ads
399,"Brown, Harris and Dougherty",U.S.A,1-10,19/10/2024,LinkedIn Ads
400,Duran LLC,CA,51-200,19/09/2025,Referral
401,Wilson-Jimenez,U.S.A,51-200,05/10/2023,LinkedIn Ads
402,Thompson-James,Australia,11-50,03/09/2023,Direct
403,"Hall, Hansen and Barnett",United Kingdom,1-10,03/04/2023,LinkedIn Ads
404,Jones-Hensley,U.K.,1-10,06-Dec-2024,Referral
405,Graham Group,United States,201-1000,30/11/2023,Referral
406,Atkins PLC,IN,11-50,04/18/2025,Referral
407,Berry-Mckinney,Canada,1-10,18-Jan-2023,Organic Search
408,Roberts-Sullivan,Britain,11-50,12/15/2024,Google Ads
409,Jackson-Meza,United Kingdom,1000+,13-Nov-2025,Direct
410,Collier-Gillespie,United States,1-10,13-Sep-2025,Direct
411,Kim Inc,Bharat,1-10,09/03/2024,
