customer_id,company_name,country,company_size_band,signup_date,acquisition_channel,signup_date_ambiguous
50,"Harris, Collins and Carney",India,11-50,2024-09-08,Referral,False
51,"Brooks, Lam and Hayes",United Kingdom,11-50,2024-03-13,Referral,False
52,Walker LLC,United States,51-200,2023-07-11,Referral,True
53,Chapman and Sons,United States,1000+,2024-05-16,Organic Search,False
54,"Robinson, Jones and Welch",India,11-50,2025-10-09,Google Ads,False
55,Jones Inc,India,51-200,2023-12-27,Organic Search,False
56,Jones-Young,United Kingdom,1000+,2025-12-23,Organic Search,False
57,"Washington, Ryan and Cummings",Australia,201-1000,2025-07-02,Organic Search,True
58,"Johnston, Sanchez and Kennedy",Australia,11-50,2025-12-03,Google Ads,True
59,Lee-Davis,United States,1-10,2023-06-15,Google Ads,False
60,Gomez-Jenkins,United Kingdom,11-50,2025-08-12,Google Ads,False
61,"Brown, Valdez and Lucas",Australia,11-50,2025-02-18,Direct,False
62,Powell LLC,United Kingdom,,2025-09-26,LinkedIn Ads,False
63,Wright and Sons,India,1000+,2023-09-19,LinkedIn Ads,False
64,"West, Henderson and Ramirez",United States,201-1000,2023-05-10,Google Ads,True
65,Baxter Inc,United States,51-200,2024-07-23,Referral,False
66,Morton-Chase,India,1-10,2024-12-17,,False
67,Williams PLC,Canada,11-50,2023-02-11,Google Ads,True
68,Novak and Sons,United Kingdom,1-10,2025-01-25,Organic Search,False
69,Russell Group,Canada,201-1000,2023-02-22,Organic Search,False
70,Hancock Inc,United States,51-200,2023-07-28,Meta Ads,False
71,Gray Group,United States,,2025-01-28,Organic Search,False
72,House-Glover,United States,51-200,2025-07-30,LinkedIn Ads,False
73,Henderson-Bernard,India,11-50,2025-09-17,Referral,False
74,"Stanley, Tucker and Lee",Australia,201-1000,2024-07-25,Google Ads,False
75,Novak PLC,United States,1-10,2024-10-27,Google Ads,False
76,"Daniels, Adkins and Brown",United Kingdom,1-10,2023-06-25,LinkedIn Ads,False
77,"Woods, Calhoun and Schmidt",India,51-200,2025-07-06,Google Ads,False
78,Yu Inc,India,11-50,2025-08-27,Meta Ads,False
79,"Hensley, Powell and David",India,1-10,2024-09-19,Google Ads,False
80,"Sanchez, Wheeler and Harvey",United States,51-200,2024-07-20,Direct,False
81,Sandoval-Cunningham,Australia,11-50,2024-04-10,Meta Ads,False
82,Donovan-Harris,Canada,11-50,2023-09-16,,False
83,"Edwards, Baker and Anderson",United Kingdom,1-10,2024-11-28,Google Ads,False
84,"Evans, Stewart and Walton",United Kingdom,1-10,2023-04-20,Referral,False
85,Smith PLC,United States,51-200,2024-07-04,Meta Ads,True
86,"Ferrell, Jones and Lewis",United States,201-1000,2023-07-23,Google Ads,False
87,Anderson-Bailey,United States,1-10,2023-11-17,LinkedIn Ads,False
88,Suarez LLC,United States,1-10,2025-07-18,Google Ads,False
89,Moore-Bass,United Kingdom,201-1000,2023-11-02,Referral,False
90,"Turner, Riggs and Roman",United Kingdom,1-10,2025-06-18,Organic Search,False
91,"Smith, Montoya and Evans",United Kingdom,,2025-06-03,Organic Search,False
92,"Garcia, Humphrey and Baker",Canada,51-200,2023-03-24,Google Ads,False
93,Newton and Sons,United States,1000+,2025-10-04,LinkedIn Ads,False
94,Campbell-Clark,Australia,51-200,2025-04-23,Meta Ads,False
95,Harris-Walters,United Kingdom,1-10,2024-05-31,Direct,False
96,Wagner-King,India,11-50,2025-04-08,Google Ads,True
97,Davis Group,India,11-50,2024-06-30,Direct,False
98,Williams-Cook,United States,1-10,2023-11-21,Google Ads,False
99,Walsh LLC,United Kingdom,11-50,2023-12-11,Organic Search,True
100,Figueroa PLC,Canada,11-50,2025-07-24,Meta Ads,False
101,"Patterson, Smith and Jones",Australia,1-10,2025-04-29,,False
102,"Mckee, Gardner and Davenport",Australia,201-1000,2025-09-29,LinkedIn Ads,False
103,"Tran, Jordan and Williams",United Kingdom,1000+,2024-01-22,Google Ads,False
104,Nolan-Flynn,United States,11-50,2025-02-19,Organic Search,False
105,Nolan and Sons,Canada,1000+,2025-10-25,Meta Ads,False
106,"Wright, Garcia and Deleon",United Kingdom,51-200,2023-01-02,LinkedIn Ads,True
107,Dickson-Brady,India,11-50,2024-11-24,Meta Ads,False
108,Hancock and Sons,Canada,11-50,2023-03-15,Google Ads,False
109,Johnson-Doyle,India,51-200,2023-07-21,Organic Search,False
110,Patton-Jenkins,Canada,51-200,2024-10-26,Meta Ads,False
111,"Shields, Cochran and Adams",United Kingdom,1-10,2023-12-15,Organic Search,False
112,"Rodriguez, Brennan and Garrison",Canada,11-50,2024-04-20,,False
113,Gonzalez Group,Canada,11-50,2023-01-06,Meta Ads,True
114,Torres-Pope,India,1-10,2024-09-10,Meta Ads,False
115,Walker Ltd,United Kingdom,1000+,2023-02-14,Organic Search,False
116,Ross LLC,Canada,51-200,2024-08-09,Google Ads,True
117,Rasmussen LLC,India,11-50,2023-08-10,Direct,True
118,May-Ross,United States,1-10,2023-09-27,Meta Ads,False
119,"Rivera, Johnson and Wiley",India,11-50,2025-12-23,Meta Ads,False
120,White-Estes,Canada,51-200,2024-11-24,LinkedIn Ads,False
121,Johnson-Carlson,Australia,1000+,2025-03-24,Referral,False
122,Chandler-Edwards,United States,11-50,2025-07-20,Organic Search,False
123,"Joyce, Wilson and Lam",United States,1-10,2025-08-23,Referral,False
124,Scott Ltd,India,201-1000,2025-08-08,Meta Ads,False
125,Smith-Frost,United States,1-10,2023-08-26,Referral,False
126,"Mcdaniel, Bentley and Mclaughlin",United Kingdom,51-200,2025-04-29,Referral,False
127,Diaz Inc,United States,11-50,2024-03-20,Direct,False
128,"Mccall, Hanson and Alvarado",United Kingdom,11-50,2023-05-05,Google Ads,True
129,Cortez LLC,United States,1-10,2023-02-13,Meta Ads,False
130,"Parker, Ortiz and Powell",United States,51-200,2024-03-18,Google Ads,False
131,Spencer-Lee,United States,11-50,2023-09-24,Referral,False
132,"Bentley, Byrd and Orr",United States,1-10,2024-10-25,Meta Ads,False
133,"Carroll, Sullivan and Bass",India,51-200,2025-07-07,LinkedIn Ads,False
134,Mitchell-Jordan,India,,2025-03-12,Organic Search,True
135,"Lawson, Morris and Ramos",United Kingdom,51-200,2025-10-01,LinkedIn Ads,True
136,"Lewis, Kennedy and Santana",United States,11-50,2024-10-27,Organic Search,False
137,"Jackson, Miller and Robertson",United States,11-50,2024-03-16,Referral,False
138,"Harvey, Davis and Crane",United Kingdom,11-50,2024-02-10,Organic Search,True
139,Chambers and Sons,United States,11-50,2023-07-10,Organic Search,False
140,Hernandez Inc,United Kingdom,11-50,2023-09-08,Referral,False
141,Riggs PLC,Canada,1-10,2024-12-21,LinkedIn Ads,False
142,Gibson Ltd,United States,51-200,2023-08-24,Organic Search,False
143,"Lee, Horton and Snyder",India,1-10,2024-07-01,Meta Ads,False
144,Hernandez Ltd,United States,1-10,2025-03-31,Organic Search,False
145,Stafford Inc,United States,1-10,2024-11-29,Meta Ads,False
146,Robinson-Brock,Australia,51-200,2023-11-19,Google Ads,False
147,"Holmes, Williams and Wright",United Kingdom,1-10,2025-04-28,Referral,False
148,Bryant Group,India,11-50,2025-09-23,Meta Ads,False
149,"Schmidt, Hansen and Stewart",United States,51-200,2024-08-03,Referral,True
150,Salazar-Ball,India,11-50,2023-09-22,Organic Search,False
151,"Simmons, Meadows and Griffin",United States,1-10,2025-12-06,Direct,True
152,Manning Group,India,1-10,2024-08-15,Google Ads,False
153,Green-Wright,Australia,11-50,2023-06-30,Google Ads,False
154,"Ramirez, Strickland and Washington",United States,1-10,2024-11-26,Referral,False
155,Hill Inc,Canada,51-200,2024-12-20,Referral,False
156,"Mitchell, Nelson and Flores",United States,51-200,2023-10-11,Organic Search,True
157,"Miller, Hernandez and Reyes",United Kingdom,201-1000,2024-10-23,,False
158,Mccarthy Inc,India,11-50,2023-04-26,,False
159,Russell-Daniels,Australia,11-50,2023-07-04,LinkedIn Ads,False
160,Brown-Wall,United Kingdom,11-50,2024-10-20,LinkedIn Ads,False
161,Stein-Silva,Canada,11-50,2025-10-30,Google Ads,False
162,"Smith, Gilmore and Johnston",United States,11-50,2025-03-04,Meta Ads,False
163,Smith-Bell,United States,1-10,2025-03-02,Organic Search,True
164,Castaneda-Ashley,United States,1-10,2024-12-17,Organic Search,False
165,Medina-Navarro,United States,51-200,2024-11-03,Organic Search,False
166,"Hurst, Freeman and Nelson",India,11-50,2025-07-11,Meta Ads,True
167,Johnson-Rogers,United States,1-10,2023-11-14,Referral,False
168,"Yates, Ramsey and Pittman",India,11-50,2023-09-26,Google Ads,False
169,Hooper PLC,India,11-50,2025-04-21,Organic Search,False
170,Meadows PLC,United States,1000+,2024-09-25,Referral,False
171,"Alvarado, Miller and Patterson",United Kingdom,11-50,2025-02-21,LinkedIn Ads,False
172,White-Green,Australia,201-1000,2025-09-11,Organic Search,False
173,Lewis-Murphy,United States,11-50,2024-07-12,LinkedIn Ads,True
174,Ramirez-Bean,Australia,11-50,2023-02-24,Meta Ads,False
175,King-Miller,United States,201-1000,2024-10-14,Referral,False
176,Curry Inc,United States,51-200,2023-10-12,LinkedIn Ads,False
177,Walker-Jones,United States,11-50,2025-12-16,Referral,False
178,"Williams, Johnson and Wright",United Kingdom,1-10,2023-05-09,,True
179,Howell and Sons,India,1-10,2025-05-29,Meta Ads,False
180,Wells Inc,United Kingdom,1000+,2023-05-19,LinkedIn Ads,False
181,"Gould, Marshall and Scott",United States,11-50,2023-03-31,,False
182,Jackson-Lawson,United States,1-10,2024-11-11,Meta Ads,True
183,"Higgins, Strickland and Martin",Canada,51-200,2024-01-09,Google Ads,False
184,Rodriguez-Johnson,United States,1-10,2023-03-27,Meta Ads,False
185,Johnston-Odonnell,United States,11-50,2024-08-08,Referral,False
186,Sanders-Espinoza,India,51-200,2025-03-30,Referral,False
187,Vargas Ltd,India,1-10,2025-11-29,Google Ads,False
188,Garcia LLC,United Kingdom,1-10,2023-07-30,Organic Search,False
189,"Burke, Martinez and Riggs",United States,11-50,2024-12-20,Organic Search,False
190,Reed Group,United States,51-200,2023-06-03,LinkedIn Ads,True
191,"Wood, Hunter and Peterson",Canada,1-10,2025-06-16,Google Ads,False
192,Short-Garcia,Canada,51-200,2023-11-11,Direct,True
193,Reid-Poole,United Kingdom,11-50,2024-05-10,Google Ads,True
194,"Hernandez, Thompson and Boyd",United Kingdom,51-200,2024-06-20,Organic Search,False
195,"Nelson, Morton and Medina",United States,11-50,2023-06-01,Referral,False
196,Marshall-Petersen,India,11-50,2023-05-13,Meta Ads,False
197,"Adams, Christian and Rivas",India,1-10,2024-04-04,Google Ads,False
198,Ramirez Group,United States,51-200,2025-08-15,Organic Search,False
199,Christensen PLC,United States,11-50,2025-12-12,LinkedIn Ads,False
200,"Barnett, Rogers and Snyder",India,51-200,2025-08-12,Meta Ads,True
201,White-Lewis,India,11-50,2025-06-05,Referral,False
202,Peterson-Beard,United States,1-10,2024-04-06,Direct,False
203,"Beard, Peters and Black",United States,11-50,2023-09-14,Organic Search,False
204,Miller Ltd,United States,,2023-03-26,Google Ads,False
205,Freeman-Chang,India,11-50,2025-05-03,Google Ads,False
206,"Alvarez, Joseph and West",United Kingdom,11-50,2024-01-09,Organic Search,True
207,Holt-Torres,United States,201-1000,2024-02-10,Meta Ads,True
208,"Wood, Tran and Cooper",United States,11-50,2025-11-20,Meta Ads,False
209,"Pierce, Bell and Chavez",United States,201-1000,2024-08-17,Referral,False
210,King-Martinez,Australia,1-10,2024-10-02,Google Ads,False
211,Stewart Ltd,United Kingdom,11-50,2025-03-16,Direct,False
212,"Tapia, Vaughn and Lee",United States,11-50,2024-08-08,Referral,False
213,"Washington, Hardy and Bray",India,11-50,2023-04-03,Organic Search,False
214,"Carlson, Hooper and Wall",United States,51-200,2024-07-26,Organic Search,False
215,Perez-White,United States,51-200,2025-01-18,Google Ads,False
216,Erickson and Sons,United States,11-50,2025-08-28,Google Ads,False
217,Williams-Brown,United States,11-50,2024-11-19,LinkedIn Ads,False
218,Terry-Martinez,Australia,51-200,2024-11-09,Direct,False
219,Garcia-Smith,United Kingdom,51-200,2024-11-04,Organic Search,True
220,Harrison-Alexander,United States,11-50,2023-06-03,Organic Search,True
221,Sheppard LLC,United States,11-50,2025-04-20,Organic Search,False
222,Wilson-Jones,India,11-50,2024-02-29,Direct,False
223,Jones-Soto,United Kingdom,51-200,2024-12-26,Referral,False
224,Hernandez PLC,India,1-10,2024-05-19,Meta Ads,False
225,Miller-Wright,India,1-10,2025-09-28,Meta Ads,False
226,"Duran, Obrien and Gibbs",United States,51-200,2025-03-19,Direct,False
227,Rowe Group,Canada,201-1000,2024-12-10,Organic Search,False
228,Kerr-Evans,Canada,1-10,2023-10-09,,True
229,"Branch, Torres and Oliver",India,11-50,2023-07-25,Organic Search,False
230,"Choi, Garcia and Farmer",Canada,51-200,2025-04-13,Referral,False
231,"Clark, Guerrero and Moore",United States,51-200,2023-07-03,Google Ads,False
232,Arnold and Sons,Canada,201-1000,2025-05-05,Google Ads,True
233,Ortiz Ltd,India,201-1000,2024-08-15,Google Ads,False
234,"Harrison, Johnson and Roberts",United States,201-1000,2023-10-02,LinkedIn Ads,True
235,Warner-Gibson,India,51-200,2024-06-10,Google Ads,True
236,"Hall, Baker and Moody",United States,11-50,2025-05-25,Google Ads,False
237,"Guerrero, Peck and Coleman",United Kingdom,1-10,2023-01-14,Google Ads,False
238,"Walker, Hernandez and Baker",United Kingdom,51-200,2024-06-19,Organic Search,False
239,Jones and Sons,United States,11-50,2023-08-29,Direct,False
240,Larson-Holloway,United Kingdom,11-50,2025-02-04,LinkedIn Ads,True
241,Gonzales-Harrison,India,11-50,2023-06-17,LinkedIn Ads,False
242,Lyons-Bender,United States,1-10,2023-03-11,Referral,True
243,"Fernandez, Kim and George",United States,11-50,2023-04-24,,False
244,Navarro-Munoz,India,11-50,2023-02-14,Referral,False
245,Davis Ltd,United Kingdom,201-1000,2023-04-05,,True
246,"Matthews, Smith and Hubbard",United States,11-50,2025-10-05,Referral,True
247,Johnston-Hines,United States,1-10,2024-12-13,Direct,False
248,Ruiz Ltd,Australia,11-50,2024-09-03,Organic Search,True
249,Moon-White,United States,1-10,2023-11-14,Direct,False
250,"Graham, Olsen and Costa",India,,2024-05-07,Google Ads,False
251,Bailey-Cook,United States,11-50,2025-04-03,LinkedIn Ads,True
252,"Garcia, Martin and Jenkins",United Kingdom,51-200,2024-04-24,Organic Search,False
253,Roberts-Landry,United States,1-10,2025-12-03,Meta Ads,True
254,"Johnson, Miller and King",India,1-10,2025-10-12,Meta Ads,False
255,Cordova Group,India,1-10,2023-11-02,Google Ads,True
256,"Bryan, Smith and Booth",United States,201-1000,2025-08-06,Organic Search,True
257,Gutierrez-Lopez,United States,1-10,2024-02-21,Google Ads,False
258,Dean-Jimenez,United States,201-1000,2023-03-22,Google Ads,False
259,Wolf-Harris,United Kingdom,1000+,2024-09-12,Google Ads,False
260,"Anderson, Roberts and Gilmore",India,51-200,2024-05-11,Organic Search,False
261,Martinez-Dudley,India,11-50,2025-12-08,Meta Ads,True
262,"Lloyd, Mckinney and Collins",United Kingdom,201-1000,2024-10-17,Meta Ads,False
263,Tran Inc,India,11-50,2024-06-18,Organic Search,False
264,Gay Inc,United States,11-50,2024-05-18,Organic Search,False
265,Valentine-Holland,Canada,1-10,2025-01-08,Referral,True
266,Jimenez Ltd,United States,1-10,2025-12-09,Referral,False
267,Hicks-Hill,United Kingdom,51-200,2023-05-20,Google Ads,False
268,Baird-Sanchez,India,,2023-01-14,LinkedIn Ads,False
269,"Thomas, Lee and Greene",United States,1-10,2024-01-03,Google Ads,False
270,"Suarez, Shields and Hill",Australia,1-10,2025-03-23,Direct,False
271,Morgan-French,United States,1-10,2023-03-06,,False
272,Hoover-Campbell,India,51-200,2025-10-20,Organic Search,False
273,Monroe-Carpenter,Australia,1-10,2024-04-15,Referral,False
274,"Burns, Hernandez and Ryan",Canada,,2023-03-09,Referral,True
275,Cook-Hines,India,201-1000,2025-03-26,Meta Ads,False
276,Gibson-Morris,India,11-50,2024-11-10,Organic Search,False
277,Pollard and Sons,United Kingdom,1-10,2023-04-20,Google Ads,False
278,"Reyes, Chase and Jenkins",Canada,11-50,2023-02-03,Referral,True
279,Garner-Thornton,United Kingdom,51-200,2023-06-25,,False
280,Hughes-Alvarado,United States,,2025-03-08,Google Ads,False
281,"Pollard, Simpson and Johnson",India,1-10,2023-09-29,LinkedIn Ads,False
282,"Sanford, Rivera and Garcia",United States,11-50,2023-10-07,,True
283,Garcia-Lozano,United States,11-50,2024-05-12,Google Ads,False
284,Bowen Group,United States,1-10,2023-05-10,Meta Ads,False
285,"Booker, Jones and Harrington",United States,11-50,2025-12-10,Google Ads,True
286,Morgan-Schwartz,United States,11-50,2024-11-05,LinkedIn Ads,True
287,"Miller, Murphy and Craig",United States,1-10,2025-08-09,Direct,True
288,"James, Stewart and Higgins",Canada,11-50,2024-10-29,Referral,False
289,Brennan-Johnson,United Kingdom,1000+,2023-02-25,LinkedIn Ads,False
290,Young Ltd,Australia,51-200,2025-04-17,Google Ads,False
291,Bright-Francis,India,11-50,2023-01-06,Organic Search,True
292,Good-Hodges,United Kingdom,1-10,2023-06-24,Google Ads,False
293,"Brennan, Wallace and Benson",United Kingdom,,2024-11-10,LinkedIn Ads,True
294,Williams Inc,United Kingdom,51-200,2025-08-06,Organic Search,False
295,Howard-Jordan,United Kingdom,201-1000,2025-05-01,Google Ads,False
296,Schmidt PLC,United States,11-50,2024-02-28,Meta Ads,False
297,"Sparks, Jackson and Miller",United States,51-200,2023-04-02,Google Ads,True
298,Harvey-Allen,Canada,1-10,2025-11-22,Google Ads,False
299,"Thomas, Murray and King",India,1-10,2024-01-13,Organic Search,False
300,Estrada-Nolan,United Kingdom,1-10,2025-03-07,Google Ads,False
301,Santana-Byrd,United Kingdom,1-10,2025-01-19,LinkedIn Ads,False
302,Jones LLC,United Kingdom,1-10,2023-08-22,Referral,False
303,"Evans, Hayden and Vaughn",Canada,1-10,2023-10-02,Google Ads,True
304,Bruce-Gonzalez,United Kingdom,11-50,2023-10-10,LinkedIn Ads,True
305,Castaneda-Rodriguez,United Kingdom,1-10,2024-08-14,,False
306,Armstrong-Andrews,Canada,1-10,2023-07-10,Meta Ads,True
307,"Phillips, Spence and Barrett",India,,2025-06-28,Google Ads,False
308,Smith-Grimes,United States,1-10,2024-08-14,LinkedIn Ads,False
309,"Beltran, Lozano and Mcgee",United Kingdom,11-50,2025-01-21,Referral,False
310,Parsons-Hall,Canada,1-10,2024-05-21,Direct,False
311,Robinson-Lee,United Kingdom,1-10,2024-04-30,Organic Search,False
312,Byrd-Le,United States,51-200,2024-02-28,Referral,False
313,"Becker, Taylor and Davis",United States,11-50,2024-08-15,Direct,False
314,"Lucas, Parker and Alexander",United States,1000+,2023-05-02,Referral,True
315,"Diaz, Anderson and Browning",United States,51-200,2024-05-21,Organic Search,False
316,Burgess-Thompson,India,1-10,2025-07-14,Referral,False
317,Buchanan LLC,India,,2025-07-20,Meta Ads,False
318,"Shaw, Nelson and Martin",India,201-1000,2025-01-03,Referral,True
319,Coffey-Phillips,United Kingdom,1-10,2024-08-03,Organic Search,False
320,Brock-Mcdonald,Australia,1-10,2023-04-05,Referral,True
321,Taylor and Sons,United Kingdom,1-10,2025-05-26,Organic Search,False
322,"Ramsey, Whitney and Coffey",Australia,51-200,2023-07-11,Meta Ads,True
323,"Diaz, Gibbs and Smith",United States,11-50,2024-04-24,Google Ads,False
324,"Martinez, Richardson and Curry",United States,51-200,2025-11-29,Google Ads,False
325,Richards-Carson,India,1-10,2023-05-26,Google Ads,False
326,Rodriguez-Hall,Australia,51-200,2025-02-22,Referral,False
327,Harvey PLC,United States,11-50,2023-03-12,Organic Search,True
328,Herman-Walker,India,1-10,2024-03-20,Google Ads,False
329,Reid Group,United States,51-200,2024-10-06,Google Ads,False
330,"Turner, Ortiz and Taylor",India,51-200,2023-02-24,Organic Search,False
331,Torres Group,India,51-200,2023-04-22,Referral,False
332,Davis PLC,United Kingdom,201-1000,2025-12-17,Google Ads,False
333,Price LLC,Australia,11-50,2025-05-11,Organic Search,False
334,"Avery, Horton and Fernandez",United States,1-10,2023-01-29,Google Ads,False
335,"Newton, Moore and Perry",India,11-50,2025-04-30,LinkedIn Ads,False
336,Bass PLC,United States,11-50,2023-11-06,Google Ads,True
337,Crosby-Ramirez,United Kingdom,51-200,2024-09-27,,False
338,"Wood, Ramos and Sampson",Canada,11-50,2025-07-17,Google Ads,False
339,Garcia-Jennings,United States,1-10,2023-01-24,Direct,False
340,"Winters, Newman and Brown",United States,51-200,2024-04-07,Google Ads,True
341,Lopez-Martinez,United States,51-200,2024-06-22,Organic Search,False
342,Davis-Lewis,United States,1-10,2025-01-23,Referral,False
343,"Harper, Smith and Buchanan",United States,,2023-04-01,Google Ads,True
344,Zhang PLC,United States,1-10,2025-05-08,Google Ads,False
345,Jones PLC,United Kingdom,51-200,2025-10-25,Google Ads,False
346,Willis and Sons,Canada,201-1000,2025-10-08,Referral,True
347,Schroeder-Kramer,United States,11-50,2024-08-20,Meta Ads,False
348,"Smith, Garrison and Thomas",Canada,,2024-05-17,Direct,False
349,Fernandez and Sons,Canada,51-200,2025-02-09,Organic Search,True
350,Guerrero Inc,United Kingdom,51-200,2023-10-19,Google Ads,False
351,Smith and Sons,India,1000+,2025-07-27,Google Ads,False
352,"Morris, Thompson and Williams",United States,51-200,2025-09-06,Google Ads,True
353,"Fisher, Wilson and Brown",India,1-10,2024-10-30,Meta Ads,False
354,Strickland-Palmer,United States,11-50,2025-07-09,LinkedIn Ads,True
355,Hayes and Sons,United Kingdom,201-1000,2024-06-26,Google Ads,False
356,"Williams, Logan and Camacho",United States,1-10,2023-10-31,Google Ads,False
357,"Turner, Schneider and Johnson",United States,1000+,2023-03-05,Referral,False
358,Boone-Simmons,United Kingdom,1-10,2023-06-09,Referral,True
359,Henry Group,United States,201-1000,2024-06-14,Google Ads,False
360,Lam LLC,Australia,,2024-10-11,Direct,True
361,"Hernandez, Martinez and Weber",Australia,1-10,2025-10-13,Organic Search,False
362,"Kelley, Nguyen and Vang",United States,1-10,2023-01-11,Organic Search,True
363,"Phillips, Wagner and Jordan",Australia,1-10,2023-05-05,Meta Ads,True
364,"Wilson, Pena and Rich",India,1000+,2023-09-02,Referral,True
365,"Le, Lewis and Hayes",United States,1-10,2025-03-06,,False
366,Gutierrez Group,United States,11-50,2025-12-20,Organic Search,False
367,Perry-Davis,India,,2025-12-28,Direct,False
368,Edwards-Scott,United Kingdom,201-1000,2024-12-27,Direct,False
369,Mcdaniel Group,Australia,201-1000,2025-01-04,Google Ads,True
370,Davis Inc,United Kingdom,,2025-10-05,,True
371,Reynolds Ltd,United States,1-10,2023-01-02,Organic Search,True
372,"Watson, Anderson and Brown",Canada,1-10,2023-05-02,Organic Search,False
373,"Hoffman, Santiago and Jenkins",Canada,11-50,2025-03-21,Meta Ads,False
374,"Pugh, Henderson and Moon",India,1-10,2024-10-11,Direct,False
375,Schmitt PLC,United States,1-10,2025-02-13,Organic Search,False
376,Bell-Lane,Australia,1-10,2023-03-08,Meta Ads,False
377,Moore Group,Canada,51-200,2024-11-09,Google Ads,False
378,Boone LLC,Australia,11-50,2024-11-18,,False
379,"Richardson, Farmer and Andrews",India,1-10,2023-03-01,LinkedIn Ads,True
380,Bruce-Villegas,United Kingdom,11-50,2024-12-20,Google Ads,False
381,"Austin, Day and Johnson",United States,1-10,2023-03-10,,True
382,"Gallegos, Adams and White",Australia,11-50,2023-03-06,Referral,True
383,"Farmer, Dorsey and Bell",India,,2023-12-04,LinkedIn Ads,True
384,Kane PLC,United Kingdom,1-10,2024-07-30,Google Ads,False
385,"Morales, Thomas and Schultz",United States,11-50,2023-01-08,Meta Ads,True
386,Bennett Group,United States,11-50,2023-12-16,Direct,False
387,Moore-Collins,United Kingdom,11-50,2023-07-06,Meta Ads,True
388,Frank-Bradley,United Kingdom,11-50,2025-06-19,,False
389,Ware and Sons,United States,1000+,2025-04-27,Organic Search,False
390,Webster Inc,Canada,11-50,2024-04-27,Google Ads,False
391,"Miller, Ramos and Coleman",United States,201-1000,2023-12-21,Google Ads,False
392,"Ramos, Nelson and Fischer",United Kingdom,1000+,2024-02-18,Organic Search,False
